date,match,score,actual,is_ko,tier,elo_H,elo_D,elo_A,elo_pred,form_H,form_D,form_A,form_pred,xgp_H,xgp_D,xgp_A,xgp_pred,px_H,px_D,px_A,px_pred,v2_H,v2_D,v2_A,v2_pred,v2_correct,v3_H,v3_D,v3_A,v3_pred,v3_correct,v3_confidence,e3_H,e3_D,e3_A,e3_pred
2022-12-01,Costa Rica vs Germany,2-4,A,False,two_agree,0.05,0.428,0.523,A,0.462,0.161,0.376,H,0.384,0.334,0.282,H,0.193,0.261,0.546,A,0.299,0.308,0.394,A,✓,0.272,0.296,0.432,A,✓,0.432,0.296,0.326,0.379,A
2022-12-01,Croatia vs Belgium,0-0,D,False,two_agree,0.067,0.466,0.467,A,0.461,0.169,0.371,H,0.257,0.2,0.543,A,0.394,0.213,0.394,H,0.262,0.278,0.46,A,✗,0.295,0.262,0.443,A,✗,0.443,0.236,0.308,0.456,A
2022-12-01,Canada vs Morocco,1-2,A,False,split,0.218,0.565,0.217,D,0.391,0.172,0.437,A,0.493,0.299,0.208,H,0.308,0.383,0.308,D,0.367,0.345,0.287,H,✗,0.353,0.355,0.293,D,✗,0.355,0.362,0.372,0.266,D
2022-12-02,South Korea vs Portugal,2-1,H,False,split,0.08,0.488,0.432,D,0.422,0.167,0.411,H,0.236,0.324,0.44,A,0.13,0.211,0.659,A,0.246,0.326,0.428,A,✗,0.217,0.297,0.486,A,✗,0.486,0.228,0.349,0.423,A
2022-12-02,Ghana vs Uruguay,0-2,A,False,golden_zone,0.059,0.45,0.491,A,0.36,0.174,0.465,A,0.133,0.313,0.555,A,0.182,0.27,0.549,A,0.184,0.312,0.504,A,✓,0.183,0.302,0.515,A,✓,0.515,0.129,0.315,0.556,A
2022-12-02,Serbia vs Switzerland,2-3,A,False,two_agree,0.284,0.555,0.161,D,0.465,0.174,0.36,H,0.614,0.189,0.197,H,0.658,0.211,0.131,H,0.455,0.306,0.239,H,✗,0.505,0.282,0.212,H,✗,0.505,0.395,0.346,0.259,H
2022-12-02,Cameroon vs Brazil,1-0,H,False,golden_zone,0.003,0.153,0.844,A,0.344,0.167,0.489,A,0.042,0.161,0.797,A,0.156,0.241,0.603,A,0.13,0.16,0.71,A,✗,0.136,0.181,0.683,A,✗,0.683,0.08,0.139,0.781,A
2022-12-03,Netherlands vs United States,3-1,H,True,split,0.389,0.512,0.098,D,0.462,0.165,0.374,H,0.215,0.282,0.503,A,0.543,0.273,0.184,H,0.355,0.32,0.325,H,✓,0.402,0.308,0.29,H,✓,0.402,0.32,0.334,0.346,A
2022-12-03,Argentina vs Australia,2-1,H,True,golden_zone,0.531,0.422,0.047,H,0.463,0.158,0.379,H,0.499,0.325,0.176,H,0.382,0.351,0.268,H,0.498,0.301,0.201,H,✓,0.469,0.314,0.218,H,✓,0.469,0.544,0.31,0.145,H
2022-12-04,France vs Poland,3-1,H,True,golden_zone,0.508,0.438,0.054,H,0.427,0.183,0.39,H,0.557,0.259,0.184,H,0.443,0.233,0.323,H,0.497,0.293,0.209,H,✓,0.484,0.278,0.238,H,✓,0.484,0.523,0.296,0.181,H
2022-12-04,England vs Senegal,3-0,H,True,split,0.331,0.539,0.13,D,0.402,0.183,0.415,A,0.409,0.273,0.318,H,0.308,0.383,0.308,D,0.381,0.332,0.287,H,✓,0.363,0.345,0.293,H,✓,0.363,0.433,0.352,0.215,H
2022-12-05,Japan vs Croatia,1-1,D,True,split,0.384,0.515,0.101,D,0.385,0.165,0.451,A,0.782,0.134,0.084,H,0.13,0.211,0.659,A,0.517,0.271,0.212,H,✗,0.42,0.256,0.324,H,✗,0.42,0.471,0.332,0.197,H
2022-12-05,Brazil vs South Korea,4-1,H,True,golden_zone,0.668,0.313,0.02,H,0.454,0.155,0.392,H,0.724,0.209,0.067,H,0.659,0.211,0.13,H,0.615,0.226,0.159,H,✓,0.626,0.222,0.152,H,✓,0.626,0.669,0.223,0.108,H
2022-12-06,Portugal vs Switzerland,6-1,H,True,golden_zone,0.526,0.425,0.049,H,0.446,0.181,0.373,H,0.742,0.159,0.099,H,0.659,0.211,0.13,H,0.571,0.255,0.174,H,✓,0.593,0.244,0.163,H,✓,0.593,0.526,0.303,0.171,H
2022-12-06,Morocco vs Spain,0-0,D,True,split,0.073,0.477,0.449,D,0.404,0.16,0.436,A,0.421,0.241,0.338,H,0.254,0.283,0.463,A,0.3,0.293,0.408,A,✗,0.288,0.29,0.422,A,✗,0.422,0.248,0.336,0.417,A
2022-12-09,Croatia vs Brazil,1-1,D,True,golden_zone,0.011,0.251,0.738,A,0.41,0.15,0.44,A,0.017,0.049,0.934,A,0.222,0.223,0.555,A,0.146,0.15,0.704,A,✗,0.165,0.168,0.667,A,✗,0.667,0.097,0.163,0.74,A
2022-12-09,Netherlands vs Argentina,2-2,D,True,two_agree,0.149,0.551,0.3,D,0.416,0.149,0.436,A,0.122,0.241,0.637,A,0.521,0.284,0.195,H,0.229,0.313,0.458,A,✗,0.302,0.306,0.392,A,✗,0.392,0.175,0.312,0.513,A
2022-12-10,Morocco vs Portugal,1-0,H,True,split,0.095,0.508,0.396,D,0.422,0.167,0.411,H,0.259,0.322,0.419,A,0.13,0.211,0.659,A,0.259,0.332,0.409,A,✗,0.227,0.302,0.471,A,✗,0.471,0.245,0.35,0.404,A
2022-12-10,England vs France,1-2,A,True,two_agree,0.17,0.558,0.272,D,0.398,0.181,0.422,A,0.249,0.251,0.5,A,0.277,0.223,0.5,A,0.272,0.33,0.398,A,✓,0.273,0.303,0.423,A,✓,0.423,0.303,0.364,0.333,D
2022-12-13,Argentina vs Croatia,3-0,H,True,golden_zone,0.607,0.363,0.03,H,0.44,0.15,0.41,H,0.834,0.113,0.053,H,0.366,0.217,0.418,A,0.627,0.209,0.164,H,✓,0.562,0.211,0.228,H,✓,0.562,0.647,0.234,0.119,H
2022-12-14,France vs Morocco,2-0,H,True,two_agree,0.302,0.55,0.148,D,0.398,0.17,0.432,A,0.325,0.325,0.35,A,0.651,0.215,0.134,H,0.342,0.348,0.31,D,✗,0.419,0.315,0.266,H,✓,0.419,0.337,0.362,0.301,D
2022-12-17,Croatia vs Morocco,2-1,H,True,split,0.129,0.539,0.331,D,0.436,0.16,0.404,H,0.207,0.212,0.582,A,0.617,0.218,0.165,H,0.257,0.303,0.439,A,✗,0.347,0.282,0.371,A,✗,0.371,0.24,0.348,0.412,A
2022-12-18,Argentina vs France,3-3,D,True,two_agree,0.387,0.513,0.1,D,0.468,0.16,0.372,H,0.579,0.284,0.136,H,0.295,0.223,0.483,A,0.478,0.319,0.203,H,✗,0.432,0.295,0.273,H,✗,0.432,0.529,0.317,0.154,H
