date,match_id,home,away,outcome,p_model,p_market,edge_pp,edge_rel,fair_odds,market_odds
2026-06-22,WC26-NOR-SEN-2026-06-22,Norway,Senegal,draw,0.2767,0.2679,0.88,0.033,+261,+273
2026-06-22,WC26-NOR-SEN-2026-06-22,Norway,Senegal,away,0.2464,0.2836,-3.72,-0.131,+306,+253
2026-06-22,WC26-ARG-AUT-2026-06-22,Argentina,Austria,home,0.6704,0.5855,8.49,0.145,-203,-141
2026-06-22,WC26-ARG-AUT-2026-06-22,Argentina,Austria,draw,0.2104,0.247,-3.66,-0.148,+375,+305
2026-06-22,WC26-ARG-AUT-2026-06-22,Argentina,Austria,away,0.1192,0.1675,-4.83,-0.288,+739,+497
2026-06-22,WC26-JOR-ALG-2026-06-22,Jordan,Algeria,home,0.2506,0.1477,10.29,0.697,+299,+577
2026-06-22,WC26-JOR-ALG-2026-06-22,Jordan,Algeria,draw,0.2778,0.2233,5.45,0.244,+260,+348
2026-06-22,WC26-JOR-ALG-2026-06-22,Jordan,Algeria,away,0.4716,0.629,-15.74,-0.25,+112,-170
2026-06-23,WC26-POR-UZB-2026-06-23,Portugal,Uzbekistan,home,0.5782,0.7734,-19.52,-0.252,-137,-341
2026-06-23,WC26-POR-UZB-2026-06-23,Portugal,Uzbekistan,draw,0.2478,0.147,10.08,0.686,+304,+580
2026-06-23,WC26-POR-UZB-2026-06-23,Portugal,Uzbekistan,away,0.1739,0.0796,9.43,1.185,+475,+1156
2026-06-23,WC26-COL-COD-2026-06-23,Colombia,DR Congo,home,0.6646,0.6612,0.34,0.005,-198,-195
2026-06-23,WC26-COL-COD-2026-06-23,Colombia,DR Congo,draw,0.213,0.2186,-0.56,-0.026,+369,+357
2026-06-23,WC26-COL-COD-2026-06-23,Colombia,DR Congo,away,0.1223,0.1202,0.21,0.017,+718,+732
2026-06-23,WC26-ENG-GHA-2026-06-23,England,Ghana,home,0.8356,0.73,10.56,0.145,-508,-270
2026-06-23,WC26-ENG-GHA-2026-06-23,England,Ghana,draw,0.1202,0.1742,-5.4,-0.31,+732,+474
2026-06-23,WC26-ENG-GHA-2026-06-23,England,Ghana,away,0.0442,0.0958,-5.16,-0.539,+2162,+944
2026-06-23,WC26-PAN-CRO-2026-06-23,Panama,Croatia,home,0.2272,0.147,8.02,0.546,+340,+580
2026-06-23,WC26-PAN-CRO-2026-06-23,Panama,Croatia,draw,0.2709,0.2388,3.21,0.134,+269,+319
2026-06-23,WC26-PAN-CRO-2026-06-23,Panama,Croatia,away,0.5019,0.6142,-11.23,-0.183,-101,-159
2026-06-24,WC26-MAR-HAI-2026-06-24,Morocco,Haiti,home,0.6513,0.7145,-6.32,-0.088,-187,-250
2026-06-24,WC26-MAR-HAI-2026-06-24,Morocco,Haiti,draw,0.2189,0.1839,3.5,0.19,+357,+444
2026-06-24,WC26-MAR-HAI-2026-06-24,Morocco,Haiti,away,0.1297,0.1016,2.81,0.277,+671,+884
2026-06-24,WC26-BIH-QAT-2026-06-24,Bosnia and Herzegovina,Qatar,home,0.4914,0.5973,-10.59,-0.177,+104,-148
2026-06-24,WC26-BIH-QAT-2026-06-24,Bosnia and Herzegovina,Qatar,draw,0.2734,0.2429,3.05,0.126,+266,+312
2026-06-24,WC26-BIH-QAT-2026-06-24,Bosnia and Herzegovina,Qatar,away,0.2352,0.1599,7.53,0.471,+325,+525
2026-06-24,WC26-SCO-BRA-2026-06-24,Scotland,Brazil,home,0.1867,0.1598,2.69,0.168,+436,+526
2026-06-24,WC26-SCO-BRA-2026-06-24,Scotland,Brazil,draw,0.2544,0.1957,5.87,0.3,+293,+411
2026-06-24,WC26-SCO-BRA-2026-06-24,Scotland,Brazil,away,0.5589,0.6445,-8.56,-0.133,-127,-181
2026-06-24,WC26-RSA-KOR-2026-06-24,South Africa,South Korea,home,0.1487,0.2386,-8.99,-0.377,+572,+319
2026-06-24,WC26-RSA-KOR-2026-06-24,South Africa,South Korea,draw,0.2326,0.2727,-4.01,-0.147,+330,+267
2026-06-24,WC26-RSA-KOR-2026-06-24,South Africa,South Korea,away,0.6187,0.4888,12.99,0.266,-162,+105
