match_id,market_type,outcome,p_elo,p_poisson,p_form,p_ensemble_e3,p_ensemble_v2,p_kalshi,v_kalshi,p_polymarket,v_polymarket,golden_zone,edge,opportunity
WC26-ECU-GER-2026-06-25,match_1x2,draw,0.291,,,,,0.45,0,,0,0,,
WC26-ECU-GER-2026-06-25,match_1x2,home,0.364,,,,,0.2,0,,0,0,,
WC26-EGY-IRI-2026-06-26,match_1x2,away,0.457,,,,,0.3,0,,0,0,,
WC26-EGY-IRI-2026-06-26,match_1x2,draw,0.239,,,,,0.46,0,,0,0,,
WC26-EGY-IRI-2026-06-26,match_1x2,home,0.304,,,,,0.6,0,,0,0,,
WC26-ENG-CRO-2026-06-17,match_1x2,away,,,,,,0.19,0,,0,0,,
WC26-ENG-CRO-2026-06-17,match_1x2,draw,,,,,,0.25,0,,0,0,,
WC26-ENG-CRO-2026-06-17,match_1x2,home,,,,,,0.58,0,,0,0,,
WC26-ENG-GHA-2026-06-23,match_1x2,away,,,,,,0.29,0,,0,0,,
WC26-ENG-GHA-2026-06-23,match_1x2,draw,,,,,,0.28,0,,0,0,,
WC26-ENG-GHA-2026-06-23,match_1x2,home,,,,,,0.66,0,,0,0,,
WC26-ESP-CPV-2026-06-15,match_1x2,away,0.024,,,,,0.06,0,,0,0,,
WC26-ESP-CPV-2026-06-15,match_1x2,draw,0.15,,,,,0.09,0,,0,0,,
WC26-ESP-CPV-2026-06-15,match_1x2,home,0.826,,,,,0.93,0,,0,0,,
WC26-ESP-KSA-2026-06-21,match_1x2,away,0.026,,,,,0.1,0,,0,0,,
WC26-ESP-KSA-2026-06-21,match_1x2,draw,0.15,,,,,0.07,0,,0,0,,
WC26-ESP-KSA-2026-06-21,match_1x2,home,0.824,,,,,0.84,0,,0,0,,
WC26-FRA-IRQ-2026-06-22,match_1x2,away,0.052,,,,,,0,,0,0,,
WC26-FRA-IRQ-2026-06-22,match_1x2,draw,0.15,,,,,,0,,0,0,,
WC26-FRA-IRQ-2026-06-22,match_1x2,home,0.798,,,,,,0,,0,0,,
WC26-FRA-SEN-2026-06-16,match_1x2,away,0.201,,,,,0.14,0,,0,0,,
WC26-FRA-SEN-2026-06-16,match_1x2,draw,0.15,,,,,0.19,0,,0,0,,
WC26-FRA-SEN-2026-06-16,match_1x2,home,0.649,,,,,0.72,0,,0,0,,
WC26-GER-CIV-2026-06-20,match_1x2,away,0.165,,,,,0.35,0,,0,0,,
WC26-GER-CIV-2026-06-20,match_1x2,draw,0.15,,,,,,0,,0,0,,
WC26-GER-CIV-2026-06-20,match_1x2,home,0.685,,,,,0.76,0,,0,0,,
WC26-GER-CUW-2026-06-14,match_1x2,away,0.049,,,,,0.03,0,,0,0,,
WC26-GER-CUW-2026-06-14,match_1x2,draw,0.15,,,,,0.06,0,,0,0,,
WC26-GER-CUW-2026-06-14,match_1x2,home,0.801,,,,,0.96,0,,0,0,,
WC26-GHA-PAN-2026-06-17,match_1x2,away,0.673,,,,,0.28,0,,0,0,,
WC26-GHA-PAN-2026-06-17,match_1x2,draw,0.15,,,,,0.26,0,,0,0,,
WC26-GHA-PAN-2026-06-17,match_1x2,home,0.177,,,,,0.48,0,,0,0,,
WC26-HTI-SCO-2026-06-13,match_1x2,away,,,,,,0.68,0,,0,0,,
WC26-HTI-SCO-2026-06-13,match_1x2,draw,,,,,,0.18,0,,0,0,,
WC26-HTI-SCO-2026-06-13,match_1x2,home,,,,,,0.16,0,,0,0,,
WC26-IRI-NZL-2026-06-15,match_1x2,away,0.225,,,,,0.38,0,,0,0,,
WC26-IRI-NZL-2026-06-15,match_1x2,draw,0.161,,,,,0.37,0,,0,0,,
WC26-IRI-NZL-2026-06-15,match_1x2,home,0.615,,,,,0.56,0,,0,0,,
WC26-IRQ-NOR-2026-06-16,match_1x2,away,0.725,,,,,,0,,0,0,,
